SPE 	55.343989437892716	 +- 	0.014989283633047528
light_yield_pre_PID_LED_calib 	1295.1249928224966	 +- 	1.1475075063903417
light_yield_post_PID_LED_calib 	1290.5291314242488	 +- 	1.0550996913509543
triplet_lifetime_ER+alpha 	1265.8802854130104	 +- 	2.83857675066558
triplet_lifetime_ER 	1265.1794537061246	 +- 	2.999992351186627
triplet_lifetime_alpha 	1277.8706646093183	 +- 	52.740230648821225
light_yield_pre_PID_LED_calib 	1293.6030316317597	 +- 	1.177917575204722
light_yield_post_PID_LED_calib 	1290.3127503997296	 +- 	1.0573881910563325
light_yield_pre_PID_LED_calib 	1293.6030316317597	 +- 	1.177917575204722
light_yield_post_PID_LED_calib 	1290.3127503997296	 +- 	1.0573881910563325
triplet_lifetime_ER+alpha 	1265.8802854130104	 +- 	2.83857675066558
triplet_lifetime_ER 	1265.1794537061246	 +- 	2.999992351186627
triplet_lifetime_alpha 	1277.8706646093183	 +- 	52.740230648821225
time 2026-03-31 17:47
